age,gender,height_cm,weight_kg,activity_level,purpose,bmi,body_fat_pct,lean_body_mass_kg,bmr,tdee,height_m,weight_height_ratio,bmi_squared,bmi_category_numeric,fat_mass_kg,lean_mass_percentage,fat_free_mass_index,age_squared,age_group,metabolic_age_factor,activity_numeric,activity_multiplier,daily_energy_expenditure_per_kg,gender_weight_interaction,gender_height_interaction,purpose_numeric,calorie_adjustment_direction,calories_needed
27,Male,172.5,66.6,lightly_active,muscle_gain,22.38,16.9,55.3,1594,2192,1.725,0.386086957,500.8644,1,11.2554,83.03303303,18.58433102,729,0,0.997247247,1,1.375156838,32.91291291,66.6,172.5,1,0,2543
64,Female,162.7,65,sedentary,muscle_gain,24.55,38.8,39.8,1203,1444,1.627,0.399508297,602.7025,1,25.22,61.23076923,15.03515696,4096,2,0.771153846,0,1.200332502,22.21538462,0,0,1,0,1700
27,Male,172.8,87.9,very_active,weight_loss,29.44,25.3,65.7,1813,3127,1.728,0.508680556,866.7136,2,22.2387,74.7440273,22.00279707,729,0,0.859404626,3,1.724765582,35.5745165,87.9,172.8,0,-1,2646
19,Male,170.2,79.8,very_active,maintain,27.55,21.2,62.9,1755,3027,1.702,0.468860165,759.0025,2,16.9176,78.82205514,21.71358504,361,0,0.916353383,3,1.724786325,37.93233083,79.8,170.2,1,0,3056
34,Male,168,54.7,sedentary,maintain,19.38,14.9,46.5,1409,1691,1.68,0.325595238,375.5844,1,8.1503,85.00914077,16.47534014,1156,1,1.073278489,0,1.200141945,30.91407678,54.7,168,1,0,1717
62,Male,149.9,74.7,moderately_active,muscle_gain,33.24,37.9,46.4,1376,2133,1.499,0.498332221,1104.8976,3,28.3113,62.11512718,20.64974604,3844,2,0.767514502,2,1.550145349,28.55421687,74.7,149.9,1,0,2258
25,Female,165.4,71.2,moderately_active,maintain,26.03,31.6,48.7,1445,2240,1.654,0.430471584,677.5609,2,22.4992,68.3988764,17.80155542,625,0,0.845622659,2,1.55017301,31.46067416,0,0,1,0,2242
35,Male,163.4,76.8,very_active,muscle_gain,28.76,26.4,56.5,1608,2774,1.634,0.47001224,827.1376,2,20.2752,73.56770833,21.16139742,1225,1,0.872395833,3,1.725124378,36.11979167,76.8,163.4,1,0,2962
21,Male,168.3,57.5,lightly_active,weight_loss,20.3,13,50,1496,2057,1.683,0.341651812,412.09,1,7.475,86.95652174,17.65231921,441,0,1.084057971,1,1.375,35.77391304,57.5,168.3,0,-1,1745
51,Female,162.6,62.4,moderately_active,weight_loss,23.6,34.6,40.8,1235,1914,1.626,0.383763838,556.96,1,21.5904,65.38461538,15.43188864,2601,2,0.824652778,2,1.549797571,30.67307692,0,0,0,-1,1547
43,Male,171.9,65.8,sedentary,muscle_gain,22.27,20.4,52.4,1514,1817,1.719,0.382780686,495.9529,1,13.4232,79.63525836,17.73289055,1849,1,0.958713273,0,1.2001321,27.61398176,65.8,171.9,1,0,2175
19,Female,173.9,66.1,extra_active,weight_loss,21.86,25.2,49.4,1470,2793,1.739,0.380103508,477.8596,1,16.6572,74.73524962,16.33532521,361,0,0.926626324,0,1.9,42.25416036,0,0,0,-1,2457
45,Male,164.2,81.8,moderately_active,weight_loss,30.34,30.6,56.8,1613,2500,1.642,0.49817296,920.5156,3,25.0308,69.43765281,21.06696774,2025,1,0.821617767,2,1.549907006,30.56234719,81.8,164.2,0,-1,1949
60,Male,187.1,86.5,sedentary,weight_loss,24.71,27.3,62.9,1735,2082,1.871,0.462319615,610.5841,1,23.6145,72.71676301,17.96813784,3600,2,0.835741811,0,1.2,24.06936416,86.5,187.1,0,-1,1703
26,Female,169.3,46.3,very_active,weight_loss,16.15,20,37,1206,2080,1.693,0.273479031,260.8225,0,9.26,79.91360691,12.90885753,676,0,1.085313175,3,1.724709784,44.92440605,0,0,0,-1,1790
38,Female,166.5,58.1,extra_active,maintain,20.96,28.5,41.5,1269,2411,1.665,0.348948949,439.3216,1,16.5585,71.42857143,14.96992488,1444,1,0.910068847,0,1.899921198,41.49741824,0,0,1,0,2421
23,Female,169.6,56,lightly_active,muscle_gain,19.47,23.3,43,1326,1823,1.696,0.330188679,379.0809,1,13.048,76.78571429,14.94915895,529,0,0.986607143,1,1.374811463,32.55357143,0,0,1,0,2330
47,Male,176.6,92,lightly_active,weight_loss,29.5,30,64.4,1781,2449,1.766,0.520951302,870.25,2,27.6,70,20.64925887,2209,1,0.806612319,1,1.375070185,26.61956522,92,176.6,0,-1,1936
35,Male,162.9,53.4,extra_active,weight_loss,20.12,16,44.9,1365,2594,1.629,0.327808471,404.8144,1,8.544,84.082397,16.92014858,1225,1,1.065074906,0,1.9003663,48.57677903,53.4,162.9,0,-1,2312
38,Female,164.1,56.1,lightly_active,weight_loss,20.83,28.3,40.2,1237,1701,1.641,0.341864717,433.8889,1,15.8763,71.65775401,14.92824971,1444,1,0.918746286,1,1.375101051,30.32085561,0,0,0,-1,1392
36,Male,164.4,59.1,moderately_active,maintain,21.87,18.3,48.3,1431,2218,1.644,0.359489051,478.2969,1,10.8153,81.72588832,17.87077983,1296,1,1.008883249,2,1.549965059,37.52961083,59.1,164.4,1,0,2191
23,Male,170.6,81.5,lightly_active,maintain,28,22.7,63,1755,2413,1.706,0.477725674,784,2,18.5005,77.3006135,21.64624132,529,0,0.897239264,1,1.374928775,29.60736196,81.5,170.6,1,0,2394
17,Male,173.5,77.3,sedentary,muscle_gain,25.68,18.5,63,1759,2111,1.735,0.445533141,659.4624,2,14.3005,81.50064683,20.92866812,289,0,0.948145752,0,1.200113701,27.30918499,77.3,173.5,1,0,2318
34,Male,168.1,70.9,lightly_active,weight_loss,25.09,21.7,55.5,1584,2178,1.681,0.421772754,629.5081,2,15.3853,78.27926657,19.64072687,1156,1,0.930888575,1,1.375,30.71932299,70.9,168.1,0,-1,1672
31,Female,166.7,62.7,moderately_active,maintain,22.56,28.8,44.6,1345,2085,1.667,0.376124775,508.9536,1,18.0576,71.1323764,16.04957953,961,1,0.893806486,2,1.550185874,33.25358852,0,0,1,0,2058
27,Male,172.6,69.5,sedentary,maintain,23.33,18,57,1627,1952,1.726,0.402665122,544.2889,1,12.51,82.01438849,19.13344943,729,0,0.975419664,0,1.199754149,28.08633094,69.5,172.6,1,0,1936
21,Female,163.5,58.2,lightly_active,muscle_gain,21.77,25.6,43.3,1325,1822,1.635,0.355963303,473.9329,1,14.8992,74.39862543,16.19766387,441,0,0.948596793,1,1.37509434,31.30584192,0,0,1,0,2136
29,Male,173.9,89.3,moderately_active,muscle_gain,29.53,25.9,66.2,1824,2827,1.739,0.513513514,872.0209,2,23.1287,74.13213886,21.89065848,841,0,0.85106383,2,1.549890351,31.65733483,89.3,173.9,1,0,2938
30,Female,161.8,45.6,lightly_active,weight_gain,17.42,22.4,35.4,1148,1578,1.618,0.281829419,303.4564,0,10.2144,77.63157895,13.52216489,900,1,1.048976608,1,1.37456446,34.60526316,0,0,2,1,2177
67,Female,153.6,38,extra_active,muscle_gain,16.11,29.3,26.9,887,1685,1.536,0.247395833,259.5321,0,11.134,70.78947368,11.40170627,4489,2,0.972587719,0,1.899661781,44.34210526,0,0,1,0,2187
16,Male,166.4,66.7,lightly_active,weight_loss,24.09,16.4,55.8,1609,2212,1.664,0.400841346,580.3281,1,10.9388,83.65817091,20.15243621,256,0,1.005122439,1,1.374766936,33.16341829,66.7,166.4,0,-1,1904
26,Female,160.1,67.9,moderately_active,muscle_gain,26.49,32.4,45.9,1378,2136,1.601,0.424109931,701.7201,2,21.9996,67.5994109,17.90729638,676,0,0.845606284,2,1.550072569,31.45802651,0,0,1,0,2370
35,Female,155.2,54.9,sedentary,weight_loss,22.79,30,38.4,1190,1428,1.552,0.353737113,519.3841,1,16.47,69.94535519,15.94218302,1225,1,0.903157256,0,1.2,26.01092896,0,0,0,-1,1200
32,Female,169.4,44.9,lightly_active,maintain,15.65,20.7,35.6,1168,1606,1.694,0.265053129,244.9225,0,9.2943,79.28730512,12.4057546,1024,1,1.083890126,1,1.375,35.76837416,0,0,1,0,1607
33,Female,152.7,58,moderately_active,maintain,24.87,32,39.4,1213,1880,1.527,0.379829731,618.5169,1,18.56,67.93103448,16.89733241,1089,1,0.871408046,2,1.54987634,32.4137931,0,0,1,0,1873
32,Female,175,57.2,sedentary,weight_loss,18.68,24.4,43.2,1328,1594,1.75,0.326857143,348.9424,1,13.9568,75.52447552,14.10612245,1024,1,0.967365967,0,1.200301205,27.86713287,0,0,0,-1,1304
35,Female,162.8,46.8,sedentary,maintain,17.66,23.8,35.7,1146,1375,1.628,0.287469287,311.8756,0,11.1384,76.28205128,13.46974627,1225,1,1.020299145,0,1.19982548,29.38034188,0,0,1,0,1389
20,Male,174.5,58.7,sedentary,weight_loss,19.28,11.5,51.9,1546,1855,1.745,0.336389685,371.7184,1,6.7505,88.41567291,17.04419504,400,0,1.097387848,0,1.199870634,31.60136286,58.7,174.5,0,-1,1500
28,Male,170.5,49.9,sedentary,weight_loss,17.17,10.8,44.5,1390,1668,1.705,0.292668622,294.8089,0,5.3892,89.17835671,15.30774589,784,0,1.160654643,0,1.2,33.42685371,49.9,170.5,0,-1,1369
38,Male,178.3,75.9,sedentary,weight_loss,23.87,21.2,59.8,1678,2014,1.783,0.425687044,569.7769,1,16.0908,78.78787879,18.81042022,1444,1,0.921168204,0,1.200238379,26.53491436,75.9,178.3,0,-1,1724
53,Male,172.2,65.3,extra_active,muscle_gain,22.02,22.4,50.7,1468,2789,1.722,0.379210221,484.8804,1,14.6272,77.64165391,17.09785639,2809,2,0.936702399,0,1.89986376,42.71056662,65.3,172.2,1,0,3133
21,Male,176,56.4,sedentary,maintain,18.21,10.5,50.5,1523,1828,1.76,0.320454545,331.6041,0,5.922,89.53900709,16.30294421,441,0,1.125147754,0,1.20026264,32.41134752,56.4,176,1,0,1791
39,Male,179.5,98.8,moderately_active,weight_loss,30.66,29.6,69.6,1901,2947,1.795,0.550417827,940.0356,3,29.2448,70.44534413,21.60132215,1521,1,0.801703779,2,1.550236718,29.82793522,98.8,179.5,0,-1,2338
16,Female,165,53.8,lightly_active,weight_gain,19.76,22,42,1308,1798,1.65,0.326060606,390.4576,1,11.836,78.0669145,15.42699725,256,0,1.013011152,1,1.374617737,33.42007435,0,0,2,1,2245
60,Male,180.6,80.2,extra_active,weight_gain,24.59,27.1,58.5,1635,3106,1.806,0.444075305,604.6681,1,21.7342,72.94264339,17.93578437,3600,2,0.849438903,0,1.89969419,38.72817955,80.2,180.6,2,1,3462
22,Male,177.5,86.4,sedentary,weight_gain,27.42,21.8,67.6,1853,2224,1.775,0.486760563,751.8564,2,18.8352,78.24074074,21.45606031,484,0,0.893614969,0,1.200215866,25.74074074,86.4,177.5,2,1,2596
32,Female,155.3,58.9,lightly_active,muscle_gain,24.42,31.3,40.5,1241,1706,1.553,0.379265937,596.3364,1,18.4357,68.76061121,16.79237452,1024,1,0.877900396,1,1.374697824,28.96434635,0,0,1,0,1980
29,Male,160.5,77.8,lightly_active,muscle_gain,30.2,26.7,57,1625,2234,1.605,0.484735202,912.04,3,20.7726,73.26478149,22.12711445,841,0,0.870287061,1,1.374769231,28.71465296,77.8,160.5,1,0,2378
42,Female,162.3,52.7,moderately_active,weight_gain,20.01,28.3,37.8,1177,1824,1.623,0.324707332,400.4001,1,14.9141,71.72675522,14.35009447,1764,1,0.93058191,2,1.549702634,34.61100569,0,0,2,1,2283
25,Male,175.5,79.8,lightly_active,maintain,25.91,20.6,63.4,1761,2421,1.755,0.454700855,671.3281,2,16.4388,79.44862155,20.5842485,625,0,0.919486216,1,1.374787053,30.33834586,79.8,175.5,1,0,2418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Male,179.1,64.5,moderately_active,maintain,20.11,11.8,56.9,1650,2558,1.791,0.360134003,404.4121,1,7.611,88.21705426,17.73867164,289,0,1.065891473,2,1.55030303,39.65891473,64.5,179.1,1,0,2553
19,Female,164.1,83.3,lightly_active,muscle_gain,30.93,36.1,53.2,1569,2157,1.641,0.507617307,956.6649,3,30.0713,63.86554622,19.75579314,361,0,0.784813926,1,1.374760994,25.89435774,0,0,1,0,2338
28,Female,166.1,39.4,sedentary,muscle_gain,14.28,18.2,32.2,1105,1326,1.661,0.237206502,203.9184,0,7.1708,81.72588832,11.67122944,784,0,1.16857022,0,1.2,33.65482234,0,0,1,0,1840
48,Female,156.1,47.8,sedentary,weight_loss,19.62,29.2,33.8,1072,1286,1.561,0.306213965,384.9444,1,13.9576,70.71129707,13.87109973,2304,1,0.934449093,0,1.199626866,26.90376569,0,0,0,-1,1200
40,Female,155.1,60,moderately_active,muscle_gain,24.94,33.7,39.8,1217,1886,1.551,0.386847195,622.0036,1,20.22,66.33333333,16.54472209,1600,1,0.845138889,2,1.549712408,31.43333333,0,0,1,0,2139
44,Male,172.2,73,lightly_active,weight_loss,24.62,23.5,55.8,1585,2179,1.722,0.423925668,606.1444,1,17.155,76.43835616,18.81775911,1936,1,0.904680365,1,1.374763407,29.84931507,73,172.2,0,-1,1862
23,Male,159.9,58.9,sedentary,weight_gain,23.04,16.7,49.1,1459,1751,1.599,0.368355222,530.8416,1,9.8363,83.36162988,19.2036846,529,0,1.032116582,0,1.20013708,29.72835314,58.9,159.9,2,1,2113
27,Male,173.7,75.4,moderately_active,maintain,24.99,20,60.3,1695,2627,1.737,0.43408175,624.5001,1,15.08,79.9734748,19.98562228,729,0,0.936671088,2,1.549852507,34.84084881,75.4,173.7,1,0,2635
34,Female,157,46.7,very_active,weight_gain,18.95,25.2,34.9,1120,1932,1.57,0.297452229,359.1025,1,11.7684,74.73233405,14.1587894,1156,1,0.999286224,3,1.725,41.37044968,0,0,2,1,2380
21,Female,162.9,64.6,sedentary,maintain,24.34,28.6,46.1,1385,1662,1.629,0.396562308,592.4356,1,18.4756,71.3622291,17.37235745,441,0,0.893317853,0,1.2,25.72755418,0,0,1,0,1636
41,Male,172.3,68.4,lightly_active,weight_loss,23.04,20.9,54.1,1552,2134,1.723,0.396982008,530.8416,1,14.2956,79.09356725,18.2232868,1681,1,0.945419103,1,1.375,31.19883041,68.4,172.3,0,-1,1849
29,Male,167.4,77.8,sedentary,weight_loss,27.76,23.8,59.3,1671,2005,1.674,0.464755078,770.6176,2,18.5164,76.22107969,21.16137026,841,0,0.894922879,0,1.199880311,25.77120823,77.8,167.4,0,-1,1512
21,Male,182.5,71.9,lightly_active,muscle_gain,21.59,14.5,61.5,1735,2386,1.825,0.393972603,466.1281,1,10.4255,85.53546592,18.46500281,441,0,1.005447381,1,1.375216138,33.18497914,71.9,182.5,1,0,2703
17,Male,174.5,73.2,lightly_active,muscle_gain,24.04,16.6,61,1721,2366,1.745,0.419484241,577.9216,1,12.1512,83.33333333,20.03267625,289,0,0.97962204,1,1.374782103,32.32240437,73.2,174.5,1,0,2632
23,Female,166.2,65.1,sedentary,muscle_gain,23.57,28.2,46.7,1400,1680,1.662,0.391696751,555.5449,1,18.3582,71.73579109,16.9065441,529,0,0.896057348,0,1.2,25.80645161,0,0,1,0,2023
45,Female,162.1,67.4,lightly_active,maintain,25.65,35.7,43.3,1303,1792,1.621,0.415792721,657.9225,2,24.0618,64.24332344,16.47865899,2025,1,0.805514342,1,1.375287797,26.58753709,0,0,1,0,1766
39,Female,163.8,60,lightly_active,muscle_gain,22.36,30.4,41.8,1270,1746,1.638,0.366300366,499.9696,1,18.24,69.66666667,15.57931961,1521,1,0.881944444,1,1.37480315,29.1,0,0,1,0,2109
65,Male,162.9,64,moderately_active,muscle_gain,24.12,27.7,46.3,1351,2094,1.629,0.392879067,581.7744,1,17.728,72.34375,17.4477256,4225,2,0.879557292,2,1.54996299,32.71875,64,162.9,1,0,2322
42,Male,182.3,70.1,very_active,weight_loss,21.09,18.8,56.9,1621,2796,1.823,0.384530993,444.7881,1,13.1788,81.16975749,17.12138642,1764,1,0.963504517,3,1.724861197,39.88587732,70.1,182.3,0,-1,2455
63,Female,164.7,68,sedentary,muscle_gain,25.07,39.2,41.3,1245,1494,1.647,0.412871888,628.5049,2,26.656,60.73529412,15.22519464,3969,2,0.762867647,0,1.2,21.97058824,0,0,1,0,1748
47,Female,160.9,41.7,lightly_active,maintain,16.11,24.7,31.4,1035,1423,1.609,0.259167185,259.5321,0,10.2999,75.29976019,12.12879232,2209,1,1.034172662,1,1.374879227,34.12470024,0,0,1,0,1403
48,Female,162.7,62.9,sedentary,muscle_gain,23.76,34.2,41.4,1253,1504,1.627,0.386601106,564.5376,1,21.5118,65.81875994,15.63958538,2304,1,0.830021198,0,1.200319234,23.91096979,0,0,1,0,1860
20,Female,167,63.4,extra_active,maintain,22.73,26.5,46.6,1401,2662,1.67,0.379640719,516.6529,1,16.801,73.50157729,16.70909678,400,0,0.920741325,0,1.900071378,41.9873817,0,0,1,0,2699
33,Male,171.6,86.4,moderately_active,weight_gain,29.34,26.6,63.4,1762,2731,1.716,0.503496503,860.8356,2,22.9824,73.37962963,21.53052852,1089,1,0.849729938,2,1.549943246,31.6087963,86.4,171.6,2,1,3109
34,Female,151.5,44.7,sedentary,weight_loss,19.48,25.8,33.2,1073,1288,1.515,0.295049505,379.4704,1,11.5326,74.27293065,14.46481282,1156,1,1.000186428,0,1.200372787,28.81431767,0,0,0,-1,1200
47,Male,171.7,72.2,lightly_active,weight_loss,24.49,24,54.9,1561,2146,1.717,0.420500874,599.7601,1,17.328,76.03878116,18.62223291,2209,1,0.900854109,1,1.374759769,29.72299169,72.2,171.7,0,-1,1843
29,Male,175,71.2,sedentary,maintain,23.25,18.4,58.1,1649,1979,1.75,0.406857143,540.5625,1,13.1008,81.6011236,18.97142857,841,0,0.965004682,0,1.200121286,27.79494382,71.2,175,1,0,1932
28,Male,173.8,57.4,moderately_active,maintain,19,13,49.9,1494,2316,1.738,0.330264672,361,1,7.462,86.93379791,16.51965607,784,0,1.084494774,2,1.550200803,40.34843206,57.4,173.8,1,0,2291
20,Male,182.6,75,lightly_active,weight_loss,22.49,15.4,63.4,1774,2439,1.826,0.410733844,505.8001,1,11.55,84.53333333,19.01462266,400,0,0.985555556,1,1.374859076,32.52,75,182.6,0,-1,2165
29,Female,155.2,40.3,moderately_active,weight_gain,16.73,21.3,31.7,1062,1646,1.552,0.259664948,279.8929,0,8.5839,78.66004963,13.16060421,841,0,1.098014888,2,1.549905838,40.84367246,0,0,2,1,2373
21,Male,168.6,73.6,lightly_active,maintain,25.89,19.7,59.1,1672,2299,1.686,0.43653618,670.2921,2,14.4992,80.29891304,20.79085456,441,0,0.946557971,1,1.375,31.23641304,73.6,168.6,1,0,2347
27,Male,167.1,69.1,sedentary,weight_loss,24.75,19.7,55.5,1591,1909,1.671,0.413524835,612.5625,1,13.6127,80.31837916,19.87650779,729,0,0.959358418,0,1.199874293,27.62662808,69.1,167.1,0,-1,1589
51,Female,163.5,65,sedentary,weight_loss,24.32,35.5,41.9,1264,1517,1.635,0.397553517,591.4624,1,23.075,64.46153846,15.67395187,2601,2,0.81025641,0,1.200158228,23.33846154,0,0,0,-1,1200
48,Male,164.1,58.4,very_active,muscle_gain,21.69,20.9,46.2,1372,2367,1.641,0.355880561,470.4561,1,12.2056,79.10958904,17.15634668,2304,1,0.978881279,3,1.725218659,40.53082192,58.4,164.1,1,0,2687
21,Male,178.8,86.1,sedentary,weight_loss,26.93,20.9,68.1,1863,2236,1.788,0.481543624,725.2249,2,17.9949,79.09407666,21.30159302,441,0,0.901567944,0,1.200214707,25.96980256,86.1,178.8,0,-1,1737
31,Female,155.4,43,moderately_active,muscle_gain,17.81,23.1,33.1,1085,1682,1.554,0.276705277,317.1961,0,9.933,76.97674419,13.70648089,961,1,1.051356589,2,1.550230415,39.11627907,0,0,1,0,2213
43,Male,169,68,sedentary,weight_loss,23.81,22.3,52.8,1520,1824,1.69,0.402366864,566.9161,1,15.164,77.64705882,18.48674766,1849,1,0.931372549,0,1.2,26.82352941,68,169,0,-1,1539
22,Male,185.5,65.7,very_active,maintain,19.09,11.8,57.9,1675,2889,1.855,0.354177898,364.4281,1,7.7526,88.12785388,16.82638167,484,0,1.062278031,3,1.724776119,43.97260274,65.7,185.5,1,0,2876
39,Male,182,75.2,moderately_active,weight_loss,22.7,20,60.2,1688,2616,1.82,0.413186813,515.29,1,15.04,80.05319149,18.17413356,1521,1,0.935283688,2,1.549763033,34.78723404,75.2,182,0,-1,2316
21,Male,174.8,81.5,lightly_active,maintain,26.67,20.6,64.7,1792,2464,1.748,0.46624714,711.2889,2,16.789,79.38650307,21.17490273,441,0,0.916155419,1,1.375,30.23312883,81.5,174.8,1,0,2429
18,Female,153.1,54.6,moderately_active,muscle_gain,23.29,26.7,40,1245,1930,1.531,0.356629654,542.4241,1,14.5782,73.26007326,17.06513035,324,0,0.950091575,2,1.550200803,35.34798535,0,0,1,0,2259
18,Female,173.1,56.1,sedentary,muscle_gain,18.72,21.2,44.2,1365,1638,1.731,0.324090121,350.4384,1,11.8932,78.78787879,14.75122657,324,0,1.013814617,0,1.2,29.19786096,0,0,1,0,2148
60,Female,158.6,54.3,lightly_active,weight_loss,21.59,34.3,35.7,1100,1512,1.586,0.342370744,466.1281,1,18.6249,65.74585635,14.19259631,3600,2,0.84407612,1,1.374545455,27.84530387,0,0,0,-1,1246
22,Female,162.5,53.4,moderately_active,maintain,20.22,23.9,40.6,1266,1962,1.625,0.328615385,408.8484,1,12.7626,76.02996255,15.37514793,484,0,0.987827715,2,1.549763033,36.74157303,0,0,1,0,1963
19,Female,166.5,52.1,sedentary,maintain,18.79,21.5,40.9,1285,1542,1.665,0.312912913,353.0641,1,11.2015,78.50287908,14.75349223,361,0,1.027671145,0,1.2,29.59692898,0,0,1,0,1586
18,Male,161.2,61.2,sedentary,weight_gain,23.55,16.2,51.3,1512,1814,1.612,0.379652605,554.6025,1,9.9144,83.82352941,19.74182465,324,0,1.029411765,0,1.19973545,29.64052288,61.2,161.2,2,1,2200
67,Female,155.1,77.3,moderately_active,muscle_gain,32.13,48.6,39.7,1239,1920,1.551,0.498388137,1032.3369,3,37.5678,51.35834411,16.50315243,4489,2,0.667852523,2,1.549636804,24.83829237,0,0,1,0,2093
29,Female,160.6,51,moderately_active,weight_loss,19.77,25,38.2,1203,1865,1.606,0.317559153,390.8529,1,12.75,74.90196078,14.81058732,841,0,0.982843137,2,1.550290939,36.56862745,0,0,0,-1,1567
47,Female,161.8,76.7,sedentary,weight_loss,29.3,40.6,45.6,1371,1645,1.618,0.474042027,858.49,2,31.1402,59.45241199,17.41838189,2209,1,0.744784876,0,1.199854121,21.44719687,0,0,0,-1,1200
38,Female,153.2,52.2,extra_active,weight_gain,22.24,30,36.5,1140,2166,1.532,0.34073107,494.6176,1,15.66,69.92337165,15.55160919,1444,1,0.909961686,0,1.9,41.49425287,0,0,2,1,2488
29,Male,176.1,73.7,moderately_active,weight_loss,23.77,19,59.7,1682,2607,1.761,0.418512209,565.0129,1,14.003,81.00407056,19.25110307,841,0,0.950927182,2,1.549940547,35.37313433,73.7,176.1,0,-1,2300
